iter	Passed	Remaining
0	65	1238
1	73	659
2	79	451
3	85	341
4	91	273
5	96	226
6	102	190
7	108	162
8	112	137
9	118	118
10	123	100
11	128	85
12	133	72
13	138	59
14	144	48
15	149	37
16	154	27
17	159	17
18	165	8
19	169	0
